sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc3062_AAC_10.8	2bc3062_AAC_10	1178.3/1051.7/1399.1	1037.3/1521.3/1191.2	1178.3	1191.2	0.015741	32385	57828	0.053797	0.52145	0.47855	0.9571	0.99967	True
2bc27796_GAC_2.7	2bc27796_GAC_2	727.64/811.71/959.11	801.13/746.52/850.41	811.71	801.13	-0.018895	14398	38744	0.053746	0.47857	0.52143	0.95714	0.99967	False
2bc18431_GAC_7.5	2bc18431_GAC_7	527.89/318/802.83	496.77/536.29/862.55	527.89	536.29	0.022711	59823	24401	0.053723	0.52125	0.47875	0.9575	0.99967	True
2bc17187_AAC_2.4	2bc17187_AAC_2	527.89/624.85/715.05	615.72/566.46/804.91	624.85	615.72	-0.02121	8768.4	29248	0.053577	0.47864	0.52136	0.95727	0.99967	False
2bc9069_AAC_5.8	2bc9069_AAC_5	645.6/493.71/591.95	600.85/447.72/707.84	591.95	600.85	0.02149	6264.8	27596	0.053565	0.52127	0.47873	0.95746	0.99967	True
2bc22421_AAC_3.4	2bc22421_AAC_3	1153.3/923.14/1399.1	1148.3/1166/1375.2	1153.3	1166	0.015819	56687	56512	0.053534	0.52135	0.47865	0.95731	0.99967	True
2bc21697_GAC_2.4	2bc21697_GAC_2	1363.7/839.99/1198.9	1186/1147.5/1228.6	1198.9	1186	-0.015633	77989	58917	0.053279	0.47875	0.52125	0.95751	0.99967	False
NT-695	NonTargetingControlGuideForHuman-695	1531.4/2315.1/1119.7	1504.3/1619.6/1546.1	1531.4	1546.1	0.013818	3.9188e+05	76646	0.05327	0.52124	0.47876	0.95752	0.99967	True
2bc33945_GAC_1.8	2bc33945_GAC_1	1770.3/2032.3/1586.4	1754.4/1804.5/1512.7	1770.3	1754.4	-0.013009	51222	89574	0.053128	0.47881	0.52119	0.95763	0.99967	False
2bc36601_AAC_3.4	2bc36601_AAC_3	521.95/690.85/1259.9	587.73/681.31/797.83	690.85	681.31	-0.020041	1.7617e+05	32581	0.052962	0.47888	0.52112	0.95776	0.99967	False
TGFB1-1	TGFB1	1016.6/1138.3/1386.2	1259.4/1134.9/1150.7	1138.3	1150.7	0.015696	38145	55722	0.052796	0.52105	0.47895	0.9579	0.99967	True
2bc35787_GAC_3.4	2bc35787_GAC_3	812.05/1144.3/813.53	823.87/714.4/915.13	813.53	823.87	0.0182	54697	38838	0.052472	0.52091	0.47909	0.95817	0.99967	True
2bc3960_AAC_7.4	2bc3960_AAC_7	1096.2/1308.8/1174.3	1186.8/1074.5/1620.9	1174.3	1186.8	0.015339	12102	57618	0.052335	0.52087	0.47913	0.95826	0.99967	True
2bc3316_GAC_2.5	2bc3316_GAC_2	971.37/737.14/345.75	746.91/748.46/343.81	737.14	746.91	0.018973	1.0402e+05	34932	0.05228	0.52083	0.47917	0.95834	0.99967	True
2bc3911_GAC_1.5	2bc3911_GAC_1	718.13/865.71/999.79	876.35/900.3/585.48	865.71	876.35	0.017606	19879	41521	0.052224	0.52082	0.47918	0.95836	0.99967	True
2bc6039_GAC_5.6	2bc6039_GAC_5	645.6/541.71/511.67	533.51/326.05/918.16	541.71	533.51	-0.021976	5847.8	25088	0.052206	0.47918	0.52082	0.95836	0.99967	False
2bc1499_AAC_1.5	2bc1499_AAC_1	877.45/1158/1414	1491.2/1145.6/1047.6	1158	1145.6	-0.015545	72135	56760	0.052138	0.47921	0.52079	0.95842	0.99967	False
2bc32276_GAC_1.7	2bc32276_GAC_1	1353/1022.6/1309.1	1322.4/1423.9/864.57	1309.1	1322.4	0.014518	42027	64760	0.052068	0.52076	0.47924	0.95847	0.99967	True
2bc18203_GAC_1.6	2bc18203_GAC_1	810.86/792.85/760.01	782.77/546.02/862.55	792.85	782.77	-0.018443	701.5	37778	0.051911	0.4793	0.5207	0.9586	0.99967	False
2bc22370_GAC_1.8	2bc22370_GAC_1	1306.7/730.28/1546.8	1293.5/1138.8/1702.9	1306.7	1293.5	-0.014552	1.9494e+05	64628	0.051625	0.47941	0.52059	0.95883	0.99967	False
2bc11512_GAC_3.5	2bc11512_GAC_3	1106.9/1125.4/730.04	1232.3/1095/780.64	1106.9	1095	-0.015653	71189	54074	0.051414	0.4795	0.5205	0.959	0.99967	False
NT-649	NonTargetingControlGuideForHuman-649	774.01/1025.1/1155	1020.7/1036.6/1349.9	1025.1	1036.6	0.015975	39965	49792	0.051203	0.52042	0.47958	0.95917	0.99967	True
2bc11928_GAC_2.8	2bc11928_GAC_2	266.32/1017.4/914.15	903.46/801.02/1048.6	914.15	903.46	-0.016954	2.1517e+05	44023	0.050965	0.47968	0.52032	0.95935	0.99967	False
2bc11158_AAC_2.8	2bc11158_AAC_2	581.4/1202.6/795.33	690.93/785.45/967.71	795.33	785.45	-0.01802	1.058e+05	37905	0.0508	0.47974	0.52026	0.95948	0.99967	False
NT-98	NonTargetingControlGuideForHuman-98	1641.9/1710/1205.3	1894.4/1627.4/1520.8	1641.9	1627.4	-0.012869	97638	82610	0.050763	0.47976	0.52024	0.95951	0.99967	False
2bc9800_GAC_5.6	2bc9800_GAC_5	863.18/1375.7/1315.6	1328.5/1441.5/1008.2	1315.6	1328.5	0.014121	1.0414e+05	65102	0.050754	0.52024	0.47976	0.95952	0.99967	True
2bc13340_AAC_1.8	2bc13340_AAC_1	2103.3/2656.3/2486.6	2504.9/2589.9/1984	2486.6	2504.9	0.010533	87875	1.2905e+05	0.050742	0.52023	0.47977	0.95953	0.99967	True
2bc38233_GAC_1.7	2bc38233_GAC_1	1048.7/1368.8/1246	1258.5/1433.7/1011.2	1246	1258.5	0.014459	27017	61409	0.050686	0.52021	0.47979	0.95958	0.99967	True
2bc28284_GAC_2.4	2bc28284_GAC_2	864.37/950.56/846.72	753.9/875.97/874.68	864.37	874.68	0.017097	3870.7	41452	0.050669	0.5202	0.4798	0.9596	0.99967	True
2bc24260_AAC_3.4	2bc24260_AAC_3	533.84/713.14/844.57	722.42/523.63/771.54	713.14	722.42	0.018631	24712	33712	0.050555	0.52014	0.47986	0.95973	0.99967	True
NT-895	NonTargetingControlGuideForHuman-895	934.52/1339.7/1005.1	839.62/1175.7/1016.3	1005.1	1016.3	0.015843	58460	48749	0.050319	0.52006	0.47994	0.95987	0.99967	True
2bc4293_GAC_2.4	2bc4293_GAC_2	235.41/330/6.4226	234.39/231.64/149.66	235.41	231.64	-0.023178	30691	10245	0.050293	0.47994	0.52006	0.95989	0.99967	False
2bc29798_AAC_1.6	2bc29798_AAC_1	1655/767.14/1227.8	1512.2/1021/1215.5	1227.8	1215.5	-0.014556	1.9736e+05	60445	0.050174	0.47999	0.52001	0.95998	0.99967	False
2bc1645_AAC_1.7	2bc1645_AAC_1	892.9/1139.1/1266.3	1151/1089.1/1435.9	1139.1	1151	0.014904	38404	55767	0.050135	0.51999	0.48001	0.96002	0.99967	True
2bc36254_GAC_1.6	2bc36254_GAC_1	1190.1/1761.4/1119.7	1185.1/1005.4/1178	1190.1	1178	-0.014728	1.6566e+05	58455	0.050039	0.48005	0.51995	0.96009	0.99967	False
2bc9828_GAC_1.4	2bc9828_GAC_1	1080.8/1224.8/1516.8	947.19/1237.1/1338.8	1224.8	1237.1	0.014301	53002	60290	0.049735	0.51983	0.48017	0.96033	0.99967	True
2bc9368_GAC_6.6	2bc9368_GAC_6	1229.4/855.42/852.07	930.57/672.55/845.36	855.42	845.36	-0.017052	69926	40991	0.049719	0.48017	0.51983	0.96035	0.99967	False
2bc23875_GAC_2.7	2bc23875_GAC_2	488.66/1096.3/631.56	510.77/853.58/640.09	631.56	640.09	0.019321	1.1819e+05	29586	0.049582	0.51971	0.48029	0.96057	0.99967	True
2bc23512_GAC_1.4	2bc23512_GAC_1	1140.2/577.71/1264.2	1023.3/1153.4/1128.5	1140.2	1128.5	-0.014881	1.6589e+05	55824	0.049566	0.48023	0.51977	0.96047	0.99967	False
2bc8590_GAC_2.6	2bc8590_GAC_2	844.16/909.42/600.52	972.55/680.33/834.24	844.16	834.24	-0.017033	31810	40411	0.049363	0.48032	0.51968	0.96063	0.99967	False
2bc15671_GAC_2.8	2bc15671_GAC_2	1179.4/1099.7/1726.6	1053/1191.3/1493.5	1179.4	1191.3	0.014441	1.5288e+05	57891	0.049355	0.51968	0.48032	0.96064	0.99967	True
2bc27622_AAC_1.7	2bc27622_AAC_1	1256.7/1541.1/1058.7	1244.6/919.76/1561.3	1256.7	1244.6	-0.014023	60058	61977	0.048868	0.48051	0.51949	0.96102	0.99967	False
2bc3166_GAC_2.8	2bc3166_GAC_2	1130.7/1346.6/1270.6	1258.5/1313/1222.5	1270.6	1258.5	-0.013748	12673	62714	0.048157	0.4808	0.5192	0.96159	0.99967	False
2bc6448_GAC_5.7	2bc6448_GAC_5	1326.9/1873.7/1398	1609.3/1347/1410.6	1398	1410.6	0.012962	1.1568e+05	69496	0.047893	0.5191	0.4809	0.9618	0.99967	True
2bc21432_AAC_3.6	2bc21432_AAC_3	881.01/785.99/1096.1	905.21/586.9/890.86	881.01	890.86	0.016022	27652	42310	0.047885	0.51909	0.48091	0.96182	0.99967	True
2bc35932_GAC_4.7	2bc35932_GAC_4	1004.7/1295.1/1529.7	1283/1153.4/1524.9	1295.1	1283	-0.013525	69686	64016	0.047803	0.48094	0.51906	0.96187	0.99967	False
2bc367_GAC_1.6	2bc367_GAC_1	272.27/472.28/566.26	660.32/216.07/479.31	472.28	479.31	0.021255	24418	21649	0.04774	0.51872	0.48128	0.96256	0.99967	True
2bc32575_GAC_8.4	2bc32575_GAC_8	1081.9/564/1013.7	1024.2/1276/779.63	1013.7	1024.2	0.014785	1.0345e+05	49196	0.047125	0.51879	0.48121	0.96242	0.99967	True
2bc38645_AAC_2.4	2bc38645_AAC_2	1996.2/2767.7/2660	2917.7/2642.5/1757.5	2660	2642.5	-0.0095395	2.261e+05	1.3875e+05	0.047081	0.48122	0.51878	0.96245	0.99967	False
2bc4049_AAC_5.6	2bc4049_AAC_5	255.62/341.14/525.58	279/335.79/467.17	341.14	335.79	-0.02275	20666	15263	0.047076	0.48123	0.51877	0.96245	0.99967	False
2bc6920_AAC_1.7	2bc6920_AAC_1	1926.1/1677.4/2062.7	1940.7/1544.6/2269.1	1926.1	1940.7	0.010916	40256	98071	0.046737	0.51864	0.48136	0.96272	0.99967	True
2bc10879_GAC_6.4	2bc10879_GAC_6	1353/594.85/1035.1	1259.4/839.95/1045.6	1035.1	1045.6	0.014495	1.4745e+05	50313	0.046644	0.5186	0.4814	0.9628	0.99967	True
2bc14178_GAC_8.4	2bc14178_GAC_8	733.58/623.99/530.94	690.93/616.1/599.64	623.99	616.1	-0.018349	10335	29205	0.046389	0.4815	0.5185	0.963	0.99967	False
2bc8124_GAC_2.6	2bc8124_GAC_2	1020.1/547.71/912.01	742.54/921.71/965.69	912.01	921.71	0.015245	72202	43913	0.046284	0.51845	0.48155	0.96309	0.99967	True
2bc13886_GAC_4.4	2bc13886_GAC_4	1026.1/778.28/633.7	787.14/832.17/634.02	778.28	787.14	0.016311	41151	37032	0.046043	0.51835	0.48165	0.9633	0.99967	True
2bc1206_GAC_3.8	2bc1206_GAC_3	1129.5/685.71/646.54	893.84/693.96/526.83	685.71	693.96	0.017232	99244	32320	0.045897	0.51827	0.48173	0.96346	0.99967	True
2bc10439_GAC_6.6	2bc10439_GAC_6	658.68/348/727.9	650.7/650.16/789.74	658.68	650.7	-0.017551	50657	30953	0.045456	0.48187	0.51813	0.96374	0.99967	False
2bc7919_AAC_3.5	2bc7919_AAC_3	650.36/646.28/838.15	529.13/730.95/658.29	650.36	658.29	0.017461	17642	30533	0.045391	0.51805	0.48195	0.96389	0.99967	True
2bc20408_GAC_2.6	2bc20408_GAC_2	1084.3/1119.4/1333.8	1130/1049.2/1423.8	1119.4	1130	0.013538	23588	54731	0.045153	0.51801	0.48199	0.96399	0.99967	True
2bc21459_AAC_5.5	2bc21459_AAC_5	638.47/572.57/406.77	454.79/579.11/565.26	572.57	565.26	-0.018503	15916	26626	0.045085	0.48202	0.51798	0.96404	0.99967	False
2bc16592_GAC_3.4	2bc16592_GAC_3	983.26/1791.4/2037	1625/1880.4/1805	1791.4	1805	0.01088	3.5672e+05	90720	0.045047	0.51797	0.48203	0.96407	0.99967	True
