sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc2925_GAC_2.7	2bc2925_GAC_2	642.03/1235.1/257.98	1769.3/3189.5/721.99	642.03	1769.3	1.461	2.4963e+05	30113	6.4961	1	4.1217e-11	8.2433e-11	7.4825e-07	True
2bc14505_GAC_6.7	2bc14505_GAC_6	3590.6/3978/1921.4	1042.5/1366.5/976.81	3590.6	1042.5	-1.7832	1.4681e+06	1.9155e+05	5.8221	2.9055e-09	1	5.8109e-09	2.6373e-05	False
2bc1788_GAC_5.5	2bc1788_GAC_5	263.95/470.57/1088.6	1251.6/1237.1/1117.4	470.57	1237.1	1.3925	2.1235e+05	21565	5.2195	1	8.9742e-08	1.7948e-07	0.00054306	True
2bc32159_GAC_3.8	2bc32159_GAC_3	114.14/72.857/488.12	445.17/529.47/250.78	114.14	445.17	1.9542	70783	4706.5	4.8252	1	7.345e-07	1.469e-06	0.0033335	True
2bc14505_GAC_6.8	2bc14505_GAC_6	3632.2/2454/1568.2	1296.2/756.25/568.29	2454	756.25	-1.6969	1.0865e+06	1.2723e+05	4.7596	9.7005e-07	1	1.9401e-06	0.0035221	False
2bc14505_GAC_6.6	2bc14505_GAC_6	2902.2/2686.3/1808	1096.7/1216.6/1117.4	2686.3	1117.4	-1.2647	4.0902e+05	1.4022e+05	4.1897	1.3966e-05	0.99999	2.7931e-05	0.037457	False
NT-409	NonTargetingControlGuideForHuman-409	121.27/94.285/176.62	418.06/90.517/513.69	121.27	418.06	1.777	1895.9	5023.3	4.1874	0.99999	1.4749e-05	2.9498e-05	0.037457	True
2bc19617_GAC_2.4	2bc19617_GAC_2	718.13/680.57/667.95	1420.3/1685.7/914.12	680.57	1420.3	1.0603	784.94	32060	4.1317	0.99998	1.8009e-05	3.6018e-05	0.037457	True
2bc28743_AAC_1.5	2bc28743_AAC_1	180.72/208.28/421.75	306.98/641.4/598.63	208.28	598.63	1.5186	23164	8982.2	4.1187	0.99998	1.9325e-05	3.865e-05	0.037457	True
NT-548	NonTargetingControlGuideForHuman-548	914.3/965.99/1453.7	1520.9/1852.2/2132.6	965.99	1852.2	0.93843	1.2024e+05	46712	4.1003	0.99998	2.0633e-05	4.1266e-05	0.037457	True
2bc30905.0_GAC_7.6	2bc30905.0_GAC_7	485.09/322.28/813.53	615.72/1185.5/1086	485.09	1086	1.1611	67190	22281	4.0258	0.99997	2.8403e-05	5.6805e-05	0.046875	True
2bc4420_GAC_5.8	2bc4420_GAC_5	192.61/58.285/308.29	717.17/176.17/544.02	192.61	544.02	1.4932	15712	8258	3.8671	0.99994	5.6032e-05	0.00011206	0.081803	True
2bc36487_GAC_1.7	2bc36487_GAC_1	317.45/689.14/327.55	793.26/856.5/549.08	327.55	793.26	1.2735	65422	14611	3.8528	0.99994	5.8579e-05	0.00011716	0.081803	True
2bc12456_GAC_2.5	2bc12456_GAC_2	645.6/1049.1/567.33	1312.8/1667.3/600.65	645.6	1312.8	1.0228	84483	30293	3.8332	0.99994	6.3238e-05	0.00012648	0.082001	True
2bc5534.0_GAC_7.8	2bc5534.0_GAC_7	86.793/36.857/548.06	308.73/158.65/623.91	86.793	308.73	1.8188	1.0763e+05	3506.7	3.7479	0.9999	9.602e-05	0.00019204	0.10895	True
2bc16367_AAC_1.7	2bc16367_AAC_1	1418.4/537.42/594.09	1173.7/1217.6/1377.2	594.09	1217.6	1.034	3.4136e+05	27704	3.746	0.99991	8.9854e-05	0.00017971	0.10875	True
2bc18326_AAC_6.7	2bc18326_AAC_6	369.76/438/1236.4	886.84/957.72/1653.3	438	957.72	1.1269	3.2102e+05	19965	3.6782	0.99988	0.00011754	0.00023509	0.12552	True
2bc33644_GAC_1.8	2bc33644_GAC_1	240.17/389.14/1079	421.56/894.46/873.67	389.14	873.67	1.1648	2.4905e+05	17582	3.6541	0.99987	0.00012924	0.00025848	0.13034	True
2bc25945_GAC_10.7	2bc25945_GAC_10	501.74/439.71/432.46	816.88/959.67/953.56	439.71	953.56	1.115	1950	20049	3.629	0.99986	0.00014241	0.00028481	0.13198	True
2bc12660_AAC_1.4	2bc12660_AAC_1	831.08/1188.8/802.83	1087.1/1553.4/1555.2	831.08	1553.4	0.90155	64399	39739	3.6234	0.99985	0.0001454	0.00029079	0.13198	True
2bc11454.0_GAC_8.5	2bc11454.0_GAC_8	586.15/414/1157.1	1179.8/795.18/1706.9	586.15	1179.8	1.008	1.7783e+05	27306	3.5927	0.99984	0.00016365	0.00032729	0.14147	True
2bc6022.1_GAC_5.7	2bc6022.1_GAC_5	991.58/557.14/571.61	1070.5/1154.3/1176	571.61	1154.3	1.0127	88293	26579	3.5743	0.99982	0.00017564	0.00035127	0.14493	True
2bc30926_GAC_3.7	2bc30926_GAC_3	2399.3/1293.4/1303.8	2204.9/2298/1756.4	1303.8	2204.9	0.75752	6.0013e+05	64476	3.5486	0.99981	0.00019361	0.00038722	0.14883	True
2bc35812_GAC_1.6	2bc35812_GAC_1	1085.5/443.14/504.18	1217.4/1044.3/797.83	504.18	1044.3	1.0491	1.7084e+05	23224	3.5445	0.9998	0.00019675	0.0003935	0.14883	True
2bc2888_GAC_1.6	2bc2888_GAC_1	983.26/540.85/656.18	1379.2/1276/988.95	656.18	1276	0.95839	60142	30827	3.5302	0.99979	0.00020766	0.00041532	0.1508	True
2bc32468_GAC_1.7	2bc32468_GAC_1	287.73/174/687.22	681.31/731.92/507.62	287.73	681.31	1.2407	86265	12711	3.4911	0.99976	0.00024185	0.0004837	0.16887	True
2bc2318_GAC_3.8	2bc2318_GAC_3	1422/2108.6/1496.5	2446.3/2724.3/1666.4	1496.5	2446.3	0.70864	1.901e+05	74771	3.4734	0.99974	0.00025692	0.00051384	0.17275	True
2bc1335.1_GAC_4.4	2bc1335.1_GAC_4	206.88/218.57/402.48	460.91/591.76/552.11	218.57	552.11	1.3329	16981	9459.7	3.4294	0.99969	0.00030628	0.00061255	0.19839	True
2bc25271_AAC_1.8	2bc25271_AAC_1	821.57/584.57/556.63	1148.3/1359.7/888.84	584.57	1148.3	0.97291	28474	27227	3.4168	0.99968	0.00031692	0.00063383	0.19839	True
2bc2348_GAC_1.4	2bc2348_GAC_1	348.36/338.57/599.44	795.01/633.62/773.56	348.36	773.56	1.1487	31569	15610	3.4032	0.99967	0.00033389	0.00066779	0.20205	True
2bc5895_AAC_2.5	2bc5895_AAC_2	508.87/514.28/660.46	1046/693.96/1036.5	514.28	1036.5	1.0096	10699	23725	3.3902	0.99965	0.00034934	0.00069868	0.20271	True
2bc40126_GAC_3.8	2bc40126_GAC_3	1009.4/916.28/1636.7	1544.5/1757.8/2091.2	1009.4	1757.8	0.79961	2.0108e+05	48973	3.3817	0.99964	0.00036024	0.00072049	0.20271	True
2bc23555_GAC_3.4	2bc23555_GAC_3	498.17/652.28/998.72	1241.9/1273.1/856.48	652.28	1241.9	0.92797	71884	30630	3.3692	0.99962	0.00037703	0.00075407	0.20271	True
2bc20379_AAC_2.7	2bc20379_AAC_2	447.05/210/684.01	514.26/927.55/1070.9	447.05	927.55	1.0513	56172	20409	3.3635	0.99961	0.00038516	0.00077031	0.20271	True
2bc35299_GAC_6.8	2bc35299_GAC_6	712.18/711.42/1727.7	1328.5/1557.3/1218.5	712.18	1328.5	0.89856	5.1562e+05	33663	3.3592	0.99961	0.00039082	0.00078164	0.20271	True
2bc39031_GAC_1.6	2bc39031_GAC_1	241.36/294/981.59	676.07/768.9/661.32	294	676.07	1.1986	2.3778e+05	13009	3.3499	0.99959	0.0004063	0.00081259	0.20489	True
2bc8289_GAC_5.8	2bc8289_GAC_5	628.95/313.71/1156.1	1201.7/689.09/1305.5	628.95	1201.7	0.93296	1.8862e+05	29455	3.3372	0.99958	0.00042316	0.00084631	0.20762	True
NT-627	NonTargetingControlGuideForHuman-627	1143.8/1880.6/1070.4	1648.6/1931/1930.4	1143.8	1930.4	0.75457	2.7412e+05	56011	3.3237	0.99956	0.00044423	0.00088846	0.21223	True
2bc28863_GAC_4.5	2bc28863_GAC_4	842.97/1094.6/1339.1	2132.3/1857/1108.3	1094.6	1857	0.76212	61554	53426	3.2988	0.99951	0.00048548	0.00097097	0.22599	True
2bc14021_AAC_4.5	2bc14021_AAC_4	851.29/445.71/504.18	1003.2/938.26/1069.8	504.18	1003.2	0.99114	61953	23224	3.2743	0.99947	0.00052986	0.0010597	0.24048	True
2bc27673.1_GAC_6.5	2bc27673.1_GAC_6	414.94/146.57/1347.7	859.73/744.57/1117.4	414.94	859.73	1.0492	4.7101e+05	18838	3.2407	0.9994	0.00059702	0.001194	0.26435	True
2bc13988_GAC_1.6	2bc13988_GAC_1	1729.9/1823.1/894.89	774.9/607.34/1204.3	1729.9	774.9	-1.1576	3.5299e+05	87377	3.2309	0.00061711	0.99938	0.0012342	0.26645	False
2bc28539_AAC_2.5	2bc28539_AAC_2	153.37/212.57/791.05	521.26/332.87/675.48	212.57	521.26	1.2901	1.6907e+05	9180.9	3.2217	0.99935	0.00064579	0.0012916	0.26645	True
2bc12206_GAC_3.6	2bc12206_GAC_3	929.76/941.14/705.42	1611.9/1642.9/1139.6	929.76	1611.9	0.79317	25229	44832	3.2216	0.99936	0.00063735	0.0012747	0.26645	True
2bc5137_GAC_4.7	2bc5137_GAC_4	222.33/103.71/130.59	357.71/368.88/368.07	130.59	368.07	1.4878	4569.4	5439.3	3.22	0.99933	0.00066644	0.0013329	0.26886	True
2bc5488_GAC_2.8	2bc5488_GAC_2	450.61/858.85/276.17	963.81/907.11/350.88	450.61	907.11	1.0078	98544	20584	3.1818	0.99927	0.00073235	0.0014647	0.28602	True
2bc3590_GAC_4.5	2bc3590_GAC_4	2094.9/1171.7/1124	1933.7/2105.2/1566.3	1171.7	1933.7	0.7223	4.2731e+05	57483	3.1784	0.99926	0.0007405	0.001481	0.28602	True
2bc14299_AAC_2.7	2bc14299_AAC_2	353.12/117.43/344.68	547.5/735.81/831.2	344.68	735.81	1.0919	25858	15433	3.1484	0.99918	0.00082301	0.001646	0.31127	True
2bc29253_GAC_2.4	2bc29253_GAC_2	260.38/149.14/838.15	594.73/773.77/570.31	260.38	594.73	1.1885	1.731e+05	11417	3.1291	0.99912	0.0008833	0.0017666	0.32725	True
2bc38793_GAC_2.6	2bc38793_GAC_2	238.98/182.57/947.34	556.25/274.47/677.5	238.98	556.25	1.2154	2.5248e+05	10412	3.1092	0.99905	0.0009469	0.0018938	0.3438	True
2bc3456.0_GAC_8.7	2bc3456.0_GAC_8	1309/2689.7/1316.6	1940.7/2219.1/2105.3	1316.6	2105.3	0.67676	9.4267e+05	65159	3.0896	0.999	0.001002	0.0020039	0.34422	True
2bc38923_GAC_9.8	2bc38923_GAC_9	1508.8/1762.3/1631.3	2565.2/1984.6/2515.9	1631.3	2515.9	0.62467	16082	82037	3.0881	0.99899	0.0010071	0.0020142	0.34422	True
2bc12722_GAC_2.6	2bc12722_GAC_2	543.35/318.85/415.33	555.37/838.98/989.96	415.33	838.98	1.0126	12848	18857	3.0851	0.99898	0.0010186	0.0020372	0.34422	True
2bc28576_GAC_3.4	2bc28576_GAC_3	297.24/111.43/571.61	471.41/651.13/813	297.24	651.13	1.1287	54904	13163	3.0846	0.99898	0.0010239	0.0020478	0.34422	True
2bc7025_GAC_16.7	2bc7025_GAC_16	1554/1551.4/2253.3	1600.5/2896.5/2405.6	1554	2405.6	0.63014	2.4452e+05	77862	3.0522	0.99886	0.001136	0.0022719	0.37495	True
2bc37253_GAC_5.7	2bc37253_GAC_5	998.72/1602/944.13	1704.6/1668.2/1198.3	998.72	1668.2	0.73959	1.8346e+05	48415	3.0428	0.99883	0.0011721	0.0023442	0.37996	True
2bc30681_AAC_2.8	2bc30681_AAC_2	1529/850.28/917.36	1931.1/1553.4/761.43	917.36	1553.4	0.7592	1.8929e+05	44190	3.0256	0.99876	0.0012408	0.0024816	0.38146	True
2bc23341_AAC_4.7	2bc23341_AAC_4	380.46/318/605.87	900.84/560.62/776.6	380.46	776.6	1.0275	27354	17161	3.0239	0.99875	0.0012501	0.0025001	0.38146	True
2bc887_GAC_1.5	2bc887_GAC_1	563.56/468/453.87	718.92/910.03/948.5	468	910.03	0.95792	4666.3	21438	3.019	0.99873	0.001269	0.002538	0.38146	True
2bc27362_GAC_9.5	2bc27362_GAC_9	2308.9/1421.1/1589.6	2441.9/2381.7/2573.5	1589.6	2441.9	0.61901	2.7292e+05	79783	3.0174	0.99873	0.0012749	0.0025498	0.38146	True
2bc24844_GAC_2.7	2bc24844_GAC_2	362.63/586.28/443.16	1044.3/871.1/727.05	443.16	871.1	0.97341	13484	20218	3.0096	0.99869	0.0013091	0.0026182	0.38146	True
NT-360	NonTargetingControlGuideForHuman-360	567.13/601.71/763.22	1104.6/1104.7/545.03	601.71	1104.6	0.87532	13641	28086	3.0009	0.99865	0.0013462	0.0026925	0.38146	True
2bc7467_GAC_2.5	2bc7467_GAC_2	345.98/370.28/686.15	757.4/720.24/869.63	370.28	757.4	1.0304	50181	16668	2.9985	0.99864	0.0013595	0.002719	0.38146	True
2bc23311.0_AAC_4.4	2bc23311.0_AAC_4	991.58/901.71/2028.5	1150.1/1648.8/1778.7	991.58	1648.8	0.733	5.4161e+05	48043	2.9982	0.99864	0.0013577	0.0027154	0.38146	True
2bc24219_GAC_2.7	2bc24219_GAC_2	606.36/685.71/1542.5	931.45/1224.4/1335.8	685.71	1224.4	0.83549	3.7019e+05	32320	2.9965	0.99863	0.0013658	0.0027316	0.38146	True
2bc1017_AAC_2.8	2bc1017_AAC_2	738.34/348.85/469.92	730.29/1015.1/908.05	469.92	908.05	0.94888	43352	21533	2.9857	0.99858	0.0014155	0.002831	0.38935	True
NT-211	NonTargetingControlGuideForHuman-211	735.96/657.42/847.79	1363.5/1288.6/653.23	735.96	1288.6	0.80731	9336.5	34873	2.9596	0.99846	0.0015402	0.0030804	0.40593	True
2bc20978_GAC_1.5	2bc20978_GAC_1	837.02/689.99/1201	1222.7/1428.8/1572.4	837.02	1428.8	0.77075	77060	40044	2.9572	0.99845	0.001552	0.003104	0.40593	True
2bc27680_GAC_3.8	2bc27680_GAC_3	614.69/326.57/961.25	1158.8/905.17/1115.3	614.69	1115.3	0.85852	1.0156e+05	28737	2.9534	0.99843	0.0015717	0.0031435	0.40593	True
2bc27383_AAC_5.5	2bc27383_AAC_5	1615.8/2786.5/1390.5	1945.1/2472.2/2457.2	1615.8	2457.2	0.60448	7.1072e+05	81197	2.9529	0.99843	0.0015742	0.0031484	0.40593	True
2bc13337_AAC_2.7	2bc13337_AAC_2	1171.1/419.14/575.9	1058.3/1151.4/770.53	575.9	1058.3	0.87668	1.8943e+05	26793	2.9469	0.99839	0.001605	0.00321	0.40593	True
2bc35747_AAC_1.5	2bc35747_AAC_1	511.25/292.28/298.65	439.92/649.19/637.05	298.65	637.05	1.0904	22619	13230	2.9421	0.99836	0.0016379	0.0032758	0.40593	True
2bc32602_GAC_4.7	2bc32602_GAC_4	590.91/532.28/813.53	845.74/1078.4/1398.5	590.91	1078.4	0.8668	26499	27544	2.9374	0.99834	0.0016552	0.0033104	0.40593	True
2bc12794_GAC_3.5	2bc12794_GAC_3	1271/1068.8/923.79	1738.7/1886.2/1228.6	1068.8	1738.7	0.70144	30952	52078	2.9353	0.99833	0.0016661	0.0033321	0.40593	True
2bc14385_GAC_2.6	2bc14385_GAC_2	2488.5/2682/2107.7	1435.2/2009.9/1231.6	2488.5	1435.2	-0.79357	91220	1.2916e+05	2.9307	0.0016909	0.99831	0.0033817	0.40593	False
2bc5305_AAC_3.4	2bc5305_AAC_3	932.14/1626/907.73	1384.5/1605.9/1553.2	932.14	1553.2	0.73601	2.4101e+05	44955	2.9292	0.9983	0.0016994	0.0033988	0.40593	True
2bc2382_AAC_2.4	2bc2382_AAC_2	228.28/239.14/656.18	537/319.24/696.71	239.14	537	1.1637	87019	10420	2.918	0.99822	0.0017782	0.0035565	0.41925	True
2bc8415_AAC_1.4	2bc8415_AAC_1	2789.3/2038.3/1639.9	3064.6/2975.4/1359	2038.3	2975.4	0.5455	3.6135e+05	1.0422e+05	2.9027	0.99815	0.0018498	0.0036995	0.42938	True
2bc30845_GAC_2.8	2bc30845_GAC_2	699.1/825.42/637.98	1327.6/1225.4/1213.4	699.1	1225.4	0.80877	9846.2	32999	2.8971	0.99812	0.0018833	0.0037666	0.42938	True
2bc1230_AAC_10.5	2bc1230_AAC_10	330.53/631.71/229.07	570.24/682.28/1109.3	330.53	682.28	1.0433	50501	14753	2.896	0.9981	0.0018962	0.0037924	0.42938	True
2bc14720.1_AAC_6.6	2bc14720.1_AAC_6	1115.2/1071.4/1038.3	1688.9/1838.6/1732.2	1071.4	1732.2	0.69255	1507.6	52213	2.8917	0.99808	0.0019158	0.0038316	0.42938	True
2bc12830_GAC_2.6	2bc12830_GAC_2	1991.5/1998/1056.5	1072.3/1474.5/1053.7	1991.5	1072.3	-0.89258	4.3711e+05	1.0165e+05	2.8831	0.0019688	0.99803	0.0039375	0.43586	False
NT-897	NonTargetingControlGuideForHuman-897	790.65/1396.3/745.02	1639.9/1348/1279.2	790.65	1348	0.76897	1.8443e+05	37665	2.8719	0.99796	0.0020402	0.0040804	0.44623	True
NT-605	NonTargetingControlGuideForHuman-605	535.03/425.14/640.12	650.7/985.95/1097.1	535.03	985.95	0.88067	11560	24755	2.8659	0.99792	0.0020795	0.0041591	0.44943	True
2bc8459_AAC_8.7	2bc8459_AAC_8	743.09/314.57/1066.2	1279.5/967.46/1501.6	743.09	1279.5	0.78319	1.44e+05	35236	2.8578	0.99787	0.002133	0.004266	0.45108	True
2bc20753_GAC_1.7	2bc20753_GAC_1	1161.6/958.28/922.72	1572.5/1469.7/1598.7	958.28	1572.5	0.71398	21303	46311	2.8543	0.99784	0.0021564	0.0043128	0.45108	True
2bc17182_GAC_6.8	2bc17182_GAC_6	866.75/481.71/371.44	906.09/608.31/1075.9	481.71	906.09	0.91008	80205	22114	2.8537	0.99784	0.0021617	0.0043234	0.45108	True
2bc12044.1_GAC_4.7	2bc12044.1_GAC_4	708.61/1227.4/1523.2	1926.7/1909.6/2101.3	1227.4	1926.7	0.65011	1.7833e+05	60426	2.8449	0.99778	0.0022212	0.0044424	0.45702	True
NT-688	NonTargetingControlGuideForHuman-688	997.53/757.71/860.63	1437.8/1225.4/1646.2	860.63	1437.8	0.73977	14667	41259	2.8417	0.99776	0.002244	0.0044879	0.45702	True
2bc2925_GAC_2.5	2bc2925_GAC_2	1894/1047.4/1021.2	1779.8/1687.7/1044.6	1047.4	1687.7	0.68769	3.5869e+05	50957	2.8364	0.99772	0.0022813	0.0045627	0.45702	True
2bc8214_GAC_1.6	2bc8214_GAC_1	689.59/624.85/705.42	1200.8/1212.7/744.24	689.59	1200.8	0.79932	2220.8	32517	2.8351	0.99771	0.0022909	0.0045818	0.45702	True
CDK2-1	CDK2	330.53/236.57/651.9	510.77/753.33/674.47	330.53	674.47	1.0268	56053	14753	2.8316	0.99768	0.0023231	0.0046463	0.45842	True
2bc16506_GAC_7.7	2bc16506_GAC_7	374.52/296.57/685.08	504.64/922.68/741.21	374.52	741.21	0.98293	51262	16873	2.8229	0.99762	0.0023844	0.0047688	0.46454	True
2bc8972_GAC_1.7	2bc8972_GAC_1	451.8/426.85/359.67	713.67/819.52/913.11	426.85	819.52	0.93941	2568.2	19420	2.8177	0.99758	0.0024211	0.0048422	0.46454	True
NT-964	NonTargetingControlGuideForHuman-964	399.49/417.43/1133.6	765.27/804.92/868.62	417.43	804.92	0.94566	2.5661e+05	18959	2.8142	0.99755	0.0024482	0.0048963	0.46454	True
2bc33165_AAC_2.5	2bc33165_AAC_2	1061.7/676.28/2243.6	1636.4/1766.5/1700.8	1061.7	1700.8	0.67931	7.7273e+05	51705	2.8106	0.99753	0.0024725	0.004945	0.46454	True
2bc8499_GAC_2.5	2bc8499_GAC_2	586.15/510.85/817.81	1050.4/1053.1/860.53	586.15	1050.4	0.8405	29668	27306	2.8094	0.99752	0.0024821	0.0049643	0.46454	True
2bc29766_GAC_1.4	2bc29766_GAC_1	760.93/426.85/453.87	962.93/791.29/855.47	453.87	855.47	0.91296	47509	20744	2.7884	0.99735	0.0026504	0.0053009	0.48434	True
2bc8268_AAC_2.4	2bc8268_AAC_2	48.747/237.43/314.71	279.87/520.71/633.01	237.43	520.71	1.1297	20786	10339	2.786	0.99731	0.0026946	0.0053892	0.48434	True
2bc2780_AAC_3.5	2bc2780_AAC_3	467.26/263.14/1004.1	874.6/493.46/1007.1	467.26	874.6	0.90297	1.6492e+05	21402	2.7844	0.99732	0.0026832	0.0053664	0.48434	True
2bc33599_GAC_6.4	2bc33599_GAC_6	513.63/975.42/629.42	1107.2/1155.3/624.92	629.42	1107.2	0.8139	66563	29478	2.7831	0.99731	0.0026928	0.0053856	0.48434	True
2bc21532_AAC_2.4	2bc21532_AAC_2	412.57/269.14/286.88	513.39/599.55/618.85	286.88	599.55	1.0608	8056.1	12670	2.7778	0.99725	0.0027515	0.0055031	0.48972	True
2bc21935.0_GAC_2.4	2bc21935.0_GAC_2	543.35/366.85/310.43	722.42/819.52/682.56	366.85	722.42	0.9757	17168	16503	2.7679	0.99717	0.0028274	0.0056548	0.49834	True
NT-634	NonTargetingControlGuideForHuman-634	360.25/634.28/764.29	1120.4/908.09/1110.3	634.28	1110.3	0.80677	45997	29723	2.761	0.99712	0.0028812	0.0057624	0.50087	True
2bc9663_GAC_3.7	2bc9663_GAC_3	646.79/672.85/918.43	982.18/1284.8/1163.9	672.85	1163.9	0.78968	30495	31669	2.7592	0.9971	0.002897	0.0057939	0.50087	True
2bc22184_GAC_3.6	2bc22184_GAC_3	1329.2/917.14/867.05	1709/1495/1263	917.14	1495	0.70431	86172	44178	2.7492	0.99701	0.0029868	0.0059736	0.51153	True
2bc34272_AAC_1.6	2bc34272_AAC_1	915.49/1168.3/978.38	1573.4/1871.6/1083	978.38	1573.4	0.68487	20008	47356	2.7343	0.99687	0.0031255	0.0062511	0.52102	True
NT-255	NonTargetingControlGuideForHuman-255	1699/1470.8/1302.7	1384.5/653.08/730.08	1470.8	730.08	-1.0095	40162	73396	2.7343	0.0031257	0.99687	0.0062515	0.52102	False
2bc16680_GAC_8.7	2bc16680_GAC_8	368.57/476.57/858.49	613.09/880.83/950.52	476.57	880.83	0.8848	78764	21861	2.7342	0.99687	0.0031283	0.0062566	0.52102	True
2bc802_GAC_3.7	2bc802_GAC_3	702.67/472.28/458.15	849.24/889.59/873.67	472.28	873.67	0.88604	26639	21649	2.728	0.99681	0.0031881	0.0063763	0.52161	True
2bc14800_GAC_4.8	2bc14800_GAC_4	378.09/1074/504.18	855.36/919.76/1054.7	504.18	919.76	0.86605	1.7029e+05	23224	2.727	0.9968	0.0031968	0.0063936	0.52161	True
2bc31327_GAC_5.7	2bc31327_GAC_5	1294.8/1083.4/1107.9	1360.9/1967/1741.3	1107.9	1741.3	0.65184	17759	54126	2.7224	0.99676	0.0032401	0.0064801	0.52161	True
2bc2622_GAC_2.5	2bc2622_GAC_2	1089.1/993.42/1456.9	1716/1832.7/1013.2	1089.1	1716	0.65543	72208	53138	2.7195	0.99673	0.0032693	0.0065385	0.52161	True
2bc6040_GAC_4.5	2bc6040_GAC_4	511.25/700.28/558.77	509.89/996.66/1123.4	558.77	996.66	0.83371	11142	25937	2.7189	0.99672	0.0032755	0.0065511	0.52161	True
2bc23145.2_AAC_2.4	2bc23145.2_AAC_2	959.48/717.42/1133.6	860.61/1702.3/1544.1	959.48	1544.1	0.68586	44454	46374	2.7148	0.99668	0.0033162	0.0066325	0.52351	True
2bc9969_GAC_2.8	2bc9969_GAC_2	890.52/1380.8/1276	1852.4/1954.4/2005.2	1276	1954.4	0.61473	79781	62998	2.7029	0.99656	0.0034366	0.0068731	0.53782	True
2bc20874_GAC_2.7	2bc20874_GAC_2	436.34/304.28/582.32	816.88/830.22/554.13	436.34	816.88	0.90311	19374	19884	2.6986	0.99651	0.0034852	0.0069705	0.54078	True
2bc17305_GAC_7.4	2bc17305_GAC_7	826.32/647.14/618.71	1325/1115.4/955.58	647.14	1115.4	0.78448	16457	30371	2.6869	0.99639	0.0036058	0.0072115	0.55474	True
2bc19653_AAC_16.6	2bc19653_AAC_16	1783.4/1932.8/908.8	977.8/1687.7/773.56	1783.4	977.8	-0.86637	3.9365e+05	90285	2.6812	0.0036683	0.99633	0.0073365	0.55961	False
2bc38046.1_GAC_5.8	2bc38046.1_GAC_5	689.59/869.14/807.11	1331.1/1266.3/1578.5	807.11	1331.1	0.72112	8828.9	38508	2.6704	0.99621	0.0037879	0.0075758	0.56541	True
2bc19442_GAC_3.8	2bc19442_GAC_3	1095/538.28/478.49	748.66/959.67/975.8	538.28	959.67	0.833	1.5677e+05	24917	2.6695	0.9962	0.0037991	0.0075982	0.56541	True
2bc31381_GAC_1.7	2bc31381_GAC_1	973.75/706.28/851	1395.9/986.92/1389.4	851	1389.4	0.70656	18006	40763	2.6666	0.99617	0.0038312	0.0076624	0.56541	True
2bc28585_GAC_2.8	2bc28585_GAC_2	1024.9/730.28/630.49	1225.3/1083.3/1311.5	730.28	1225.3	0.74583	48373	34583	2.662	0.99612	0.0038845	0.007769	0.56541	True
2bc36986_GAC_1.6	2bc36986_GAC_1	900.04/585.42/525.58	836.12/1134.9/1024.3	585.42	1024.3	0.80609	51281	27270	2.6579	0.99607	0.0039319	0.0078639	0.56541	True
2bc29580_GAC_2.7	2bc29580_GAC_2	2922.4/1794/1845.4	2658.8/3168.1/2191.3	1845.4	2658.8	0.52657	5.813e+05	93663	2.6576	0.99607	0.0039348	0.0078695	0.56541	True
2bc16535_GAC_2.7	2bc16535_GAC_2	1407.7/1272/1038.3	2006.3/1937.8/1359	1272	1937.8	0.60697	36511	62787	2.6573	0.99606	0.0039388	0.0078775	0.56541	True
2bc6341.1_GAC_3.8	2bc6341.1_GAC_3	875.07/664.28/1355.2	1418.6/1485.2/1036.5	875.07	1418.6	0.69637	1.3747e+05	42004	2.6521	0.996	0.0040003	0.0080005	0.56541	True
2bc37642_GAC_2.6	2bc37642_GAC_2	997.53/1285.7/737.53	1580.4/1934.9/1405.6	997.53	1580.4	0.66333	75322	48353	2.6507	0.99598	0.0040162	0.0080323	0.56541	True
2bc21292_GAC_1.6	2bc21292_GAC_1	607.55/1140/414.26	920.08/1054.1/1063.8	607.55	1054.1	0.79389	1.6043e+05	28379	2.6506	0.99598	0.0040178	0.0080355	0.56541	True
2bc10386_GAC_1.7	2bc10386_GAC_1	1315/791.14/910.94	1169.3/1464.8/1706.9	910.94	1464.8	0.68468	88800	43857	2.6448	0.99591	0.0040875	0.0081749	0.5708	True
2bc17745_GAC_2.8	2bc17745_GAC_2	1288.8/1086.8/1020.1	479.28/307.56/988.95	1086.8	479.28	-1.1795	22623	53021	2.6387	0.0041615	0.99584	0.008323	0.5767	False
2bc2373_AAC_1.6	2bc2373_AAC_1	818/921.42/1369.1	1476.3/1367.5/1695.8	921.42	1476.3	0.67949	1.0555e+05	44400	2.6335	0.99577	0.0042259	0.0084519	0.57671	True
2bc7170_GAC_3.7	2bc7170_GAC_3	288.92/294.85/1168.9	570.24/768.9/595.59	294.85	595.59	1.0119	3.8201e+05	13049	2.6327	0.99574	0.0042569	0.0085138	0.57671	True
2bc24679_AAC_4.6	2bc24679_AAC_4	1599.1/1543.7/1866.8	2361.4/1941.7/2345	1599.1	2345	0.55198	37369	80298	2.632	0.99576	0.0042445	0.0084889	0.57671	True
2bc5730_GAC_4.5	2bc5730_GAC_4	469.64/1063.7/297.58	853.61/763.06/911.09	469.64	853.61	0.86065	1.9126e+05	21519	2.6175	0.99557	0.0044316	0.0088632	0.59594	True
